module	gene	color	rgb
1	Ac3	#E69F00FF	230-159-0
1	AcCoAS	#E69F00FF	230-159-0
1	Ace	#E69F00FF	230-159-0
1	Alk	#E69F00FF	230-159-0
1	alphaSnap	#E69F00FF	230-159-0
1	aPKC	#E69F00FF	230-159-0
1	Appl	#E69F00FF	230-159-0
1	Atox1	#E69F00FF	230-159-0
1	ATPCL	#E69F00FF	230-159-0
1	beat-IIIb	#E69F00FF	230-159-0
1	BicD	#E69F00FF	230-159-0
1	bol	#E69F00FF	230-159-0
1	brp	#E69F00FF	230-159-0
1	Ca-alpha1D	#E69F00FF	230-159-0
1	Ca-beta	#E69F00FF	230-159-0
1	CadN	#E69F00FF	230-159-0
1	Cadps	#E69F00FF	230-159-0
1	Cals	#E69F00FF	230-159-0
1	CaMKI	#E69F00FF	230-159-0
1	Camta	#E69F00FF	230-159-0
1	CanA-14F	#E69F00FF	230-159-0
1	CanB	#E69F00FF	230-159-0
1	CASK	#E69F00FF	230-159-0
1	CG10804	#E69F00FF	230-159-0
1	CG11000	#E69F00FF	230-159-0
1	Pits	#E69F00FF	230-159-0
1	Dpp10	#E69F00FF	230-159-0
1	PAN3	#E69F00FF	230-159-0
1	CG12025	#E69F00FF	230-159-0
1	CG12071	#E69F00FF	230-159-0
1	CG12531	#E69F00FF	230-159-0
1	CG13917	#E69F00FF	230-159-0
1	CG13928	#E69F00FF	230-159-0
1	jus	#E69F00FF	230-159-0
1	CG14762	#E69F00FF	230-159-0
1	CG15628	#E69F00FF	230-159-0
1	CG15765	#E69F00FF	230-159-0
1	CG16779	#E69F00FF	230-159-0
1	aus	#E69F00FF	230-159-0
1	CG17202	#E69F00FF	230-159-0
1	CG17816	#E69F00FF	230-159-0
1	CG2258	#E69F00FF	230-159-0
1	CG2993	#E69F00FF	230-159-0
1	CG30116	#E69F00FF	230-159-0
1	CG31221	#E69F00FF	230-159-0
1	CG31324	#E69F00FF	230-159-0
1	CG31688	#E69F00FF	230-159-0
1	CG32017	#E69F00FF	230-159-0
1	CG32206	#E69F00FF	230-159-0
1	CG32264	#E69F00FF	230-159-0
1	CG32432	#E69F00FF	230-159-0
1	CG32544	#E69F00FF	230-159-0
1	CG32647	#E69F00FF	230-159-0
1	CG32700	#E69F00FF	230-159-0
1	CG32809	#E69F00FF	230-159-0
1	CG33543	#E69F00FF	230-159-0
1	side-VI	#E69F00FF	230-159-0
1	Dora	#E69F00FF	230-159-0
1	l(3)80Fg	#E69F00FF	230-159-0
1	CG40498	#E69F00FF	230-159-0
1	CG42260	#E69F00FF	230-159-0
1	CG42268	#E69F00FF	230-159-0
1	CG4230	#E69F00FF	230-159-0
1	CG42340	#E69F00FF	230-159-0
1	CG42392	#E69F00FF	230-159-0
1	OtopLa	#E69F00FF	230-159-0
1	CG42540	#E69F00FF	230-159-0
1	CG42541	#E69F00FF	230-159-0
1	CG42668	#E69F00FF	230-159-0
1	CG42750	#E69F00FF	230-159-0
1	CG42795	#E69F00FF	230-159-0
1	CG43066	#E69F00FF	230-159-0
1	Stacl	#E69F00FF	230-159-0
1	CG43737	#E69F00FF	230-159-0
1	CG43867	#E69F00FF	230-159-0
1	CG4467	#E69F00FF	230-159-0
1	CG4577	#E69F00FF	230-159-0
1	stol	#E69F00FF	230-159-0
1	CG4612	#E69F00FF	230-159-0
1	CG5890	#E69F00FF	230-159-0
1	loaf	#E69F00FF	230-159-0
1	CG6044	#E69F00FF	230-159-0
1	CG6329	#E69F00FF	230-159-0
1	CG7029	#E69F00FF	230-159-0
1	CG7646	#E69F00FF	230-159-0
1	Srrm234	#E69F00FF	230-159-0
1	CG7990	#E69F00FF	230-159-0
1	CG8500	#E69F00FF	230-159-0
1	Lrp4	#E69F00FF	230-159-0
1	cindr	#E69F00FF	230-159-0
1	Cngl	#E69F00FF	230-159-0
1	Con	#E69F00FF	230-159-0
1	Corin	#E69F00FF	230-159-0
1	Cow	#E69F00FF	230-159-0
1	cpo	#E69F00FF	230-159-0
1	cpx	#E69F00FF	230-159-0
1	lncRNA:CR31451	#E69F00FF	230-159-0
1	lncRNA:CR45054	#E69F00FF	230-159-0
1	Dhit	#E69F00FF	230-159-0
1	dlg1	#E69F00FF	230-159-0
1	Dop2R	#E69F00FF	230-159-0
1	DopEcR	#E69F00FF	230-159-0
1	dpr12	#E69F00FF	230-159-0
1	dpr14	#E69F00FF	230-159-0
1	dpr21	#E69F00FF	230-159-0
1	dpr6	#E69F00FF	230-159-0
1	dpr7	#E69F00FF	230-159-0
1	dpr8	#E69F00FF	230-159-0
1	dpr9	#E69F00FF	230-159-0
1	Dscam2	#E69F00FF	230-159-0
1	Dscam4	#E69F00FF	230-159-0
1	dtn	#E69F00FF	230-159-0
1	eIF4EHP	#E69F00FF	230-159-0
1	enc	#E69F00FF	230-159-0
1	Evi5	#E69F00FF	230-159-0
1	fend	#E69F00FF	230-159-0
1	Flo2	#E69F00FF	230-159-0
1	Frl	#E69F00FF	230-159-0
1	Frq1	#E69F00FF	230-159-0
1	GABA-B-R1	#E69F00FF	230-159-0
1	Galphao	#E69F00FF	230-159-0
1	Gfrl	#E69F00FF	230-159-0
1	Ggamma30A	#E69F00FF	230-159-0
1	GluClalpha	#E69F00FF	230-159-0
1	Glut1	#E69F00FF	230-159-0
1	Hasp	#E69F00FF	230-159-0
1	heph	#E69F00FF	230-159-0
1	Hipk	#E69F00FF	230-159-0
1	Hs3st-A	#E69F00FF	230-159-0
1	hth	#E69F00FF	230-159-0
1	hwt	#E69F00FF	230-159-0
1	IA-2	#E69F00FF	230-159-0
1	Ih	#E69F00FF	230-159-0
1	inaE	#E69F00FF	230-159-0
1	jeb	#E69F00FF	230-159-0
1	jef	#E69F00FF	230-159-0
1	Jupiter	#E69F00FF	230-159-0
1	kek1	#E69F00FF	230-159-0
1	kis	#E69F00FF	230-159-0
1	klar	#E69F00FF	230-159-0
1	Ktl	#E69F00FF	230-159-0
1	l(3)02640	#E69F00FF	230-159-0
1	l(3)neo38	#E69F00FF	230-159-0
1	lgs	#E69F00FF	230-159-0
1	Liprin-gamma	#E69F00FF	230-159-0
1	LTV1	#E69F00FF	230-159-0
1	mAChR-A	#E69F00FF	230-159-0
1	mamo	#E69F00FF	230-159-0
1	mei-P26	#E69F00FF	230-159-0
1	Mid1	#E69F00FF	230-159-0
1	miple1	#E69F00FF	230-159-0
1	mmd	#E69F00FF	230-159-0
1	Mmp2	#E69F00FF	230-159-0
1	msi	#E69F00FF	230-159-0
1	mspo	#E69F00FF	230-159-0
1	mub	#E69F00FF	230-159-0
1	mura	#E69F00FF	230-159-0
1	nAChRalpha1	#E69F00FF	230-159-0
1	nAChRalpha6	#E69F00FF	230-159-0
1	nAChRalpha7	#E69F00FF	230-159-0
1	nAChRbeta1	#E69F00FF	230-159-0
1	NaCP60E	#E69F00FF	230-159-0
1	NaPi-III	#E69F00FF	230-159-0
1	Nca	#E69F00FF	230-159-0
1	Nckx30C	#E69F00FF	230-159-0
1	NFAT	#E69F00FF	230-159-0
1	Nlg2	#E69F00FF	230-159-0
1	Nlg3	#E69F00FF	230-159-0
1	nmo	#E69F00FF	230-159-0
1	nrv3	#E69F00FF	230-159-0
1	Nrx-1	#E69F00FF	230-159-0
1	nwk	#E69F00FF	230-159-0
1	onecut	#E69F00FF	230-159-0
1	Pdcd4	#E69F00FF	230-159-0
1	Pde6	#E69F00FF	230-159-0
1	Pde9	#E69F00FF	230-159-0
1	Pdp1	#E69F00FF	230-159-0
1	Pitslre	#E69F00FF	230-159-0
1	Pkc53E	#E69F00FF	230-159-0
1	Plc21C	#E69F00FF	230-159-0
1	pros	#E69F00FF	230-159-0
1	ps	#E69F00FF	230-159-0
1	PsGEF	#E69F00FF	230-159-0
1	Ptp99A	#E69F00FF	230-159-0
1	pum	#E69F00FF	230-159-0
1	Pvf3	#E69F00FF	230-159-0
1	qvr	#E69F00FF	230-159-0
1	Rab26	#E69F00FF	230-159-0
1	Rap1	#E69F00FF	230-159-0
1	Rbfox1	#E69F00FF	230-159-0
1	Rbp6	#E69F00FF	230-159-0
1	Rbp9	#E69F00FF	230-159-0
1	Rdl	#E69F00FF	230-159-0
1	Reph	#E69F00FF	230-159-0
1	RhoGAP100F	#E69F00FF	230-159-0
1	RhoGAP71E	#E69F00FF	230-159-0
1	RhoGAP93B	#E69F00FF	230-159-0
1	RhoGAPp190	#E69F00FF	230-159-0
1	Rim	#E69F00FF	230-159-0
1	RSG7	#E69F00FF	230-159-0
1	Rtnl1	#E69F00FF	230-159-0
1	Scgbeta	#E69F00FF	230-159-0
1	Sdc	#E69F00FF	230-159-0
1	Sema1a	#E69F00FF	230-159-0
1	SF2	#E69F00FF	230-159-0
1	shakB	#E69F00FF	230-159-0
1	shep	#E69F00FF	230-159-0
1	slgA	#E69F00FF	230-159-0
1	smog	#E69F00FF	230-159-0
1	Spn	#E69F00FF	230-159-0
1	SPoCk	#E69F00FF	230-159-0
1	St3	#E69F00FF	230-159-0
1	stau	#E69F00FF	230-159-0
1	Syn1	#E69F00FF	230-159-0
1	Syt1	#E69F00FF	230-159-0
1	Syt4	#E69F00FF	230-159-0
1	Teh1	#E69F00FF	230-159-0
1	Teh2	#E69F00FF	230-159-0
1	Ten-a	#E69F00FF	230-159-0
1	Tet	#E69F00FF	230-159-0
1	tipE	#E69F00FF	230-159-0
1	tna	#E69F00FF	230-159-0
1	Tob	#E69F00FF	230-159-0
1	Tomosyn	#E69F00FF	230-159-0
1	Tsp97E	#E69F00FF	230-159-0
1	ttv	#E69F00FF	230-159-0
1	tty	#E69F00FF	230-159-0
1	tutl	#E69F00FF	230-159-0
1	unc-104	#E69F00FF	230-159-0
1	unc-119	#E69F00FF	230-159-0
1	unc-13	#E69F00FF	230-159-0
1	unc79	#E69F00FF	230-159-0
1	Vap33	#E69F00FF	230-159-0
1	VGlut	#E69F00FF	230-159-0
1	wech	#E69F00FF	230-159-0
1	X11Lbeta	#E69F00FF	230-159-0
1	Ythdc1	#E69F00FF	230-159-0
2	14-3-3epsilon	#009E73FF	0-158-115
2	7B2	#009E73FF	0-158-115
2	Alg-2	#009E73FF	0-158-115
2	amon	#009E73FF	0-158-115
2	Arf79F	#009E73FF	0-158-115
2	Bacc	#009E73FF	0-158-115
2	boca	#009E73FF	0-158-115
2	CG10098	#009E73FF	0-158-115
2	CG11151	#009E73FF	0-158-115
2	CG12038	#009E73FF	0-158-115
2	CG12194	#009E73FF	0-158-115
2	CG13551	#009E73FF	0-158-115
2	CG17841	#009E73FF	0-158-115
2	CG1927	#009E73FF	0-158-115
2	CG2269	#009E73FF	0-158-115
2	CG2852	#009E73FF	0-158-115
2	CG30172	#009E73FF	0-158-115
2	CG30389	#009E73FF	0-158-115
